Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
PARKVIEW CARE CENTER,WELLS,MN,Non-Profit,Small,30,4,5,Adequate,4.44,1.18,3.88,36.7,0
SANDSTONE HEIGHTS,LITTLE RIVER,KS,Non-Profit,Small,36,3,5,Adequate,4.63,1.08,4.19,52.5,33.3
CLEARWATER HEALTH & REHABILITATION OF CASCADIA,OROFINO,ID,For-Profit,Medium,60,5,3,Understaffed,3.15,0.79,2.53,44.4,18.2
RIVERDALE CENTER FOR NURSING AND HEALING,RIVERDALE,GA,For-Profit,Large,152,2,2,Understaffed,3.46,0.38,3.02,53.9,50
DESERT MOUNTAIN CARE CENTER,INDIO,CA,For-Profit,Medium,99,4,2,Adequate,5.35,0.58,4.94,43.2,52.4
Lake City Center for Nursing and Healing LLC,LAKE CITY,GA,For-Profit,Large,242,1,1,Understaffed,3.08,0.25,2.58,61,60
Cra-Mar Meadows,Cranston,RI,For-Profit,Small,41,4,4,Understaffed,3.41,0.91,3.14,29.4,36.4
WILLOWBROOKE COURT AT ST ANDREWS ESTATES,BOCA RATON,FL,Non-Profit,Medium,89,4,5,Adequate,4.22,1.22,3.83,21.6,43.8
PALM TERRACE CARE CENTER,RIVERSIDE,CA,For-Profit,Medium,71,4,2,Adequate,4.32,0.44,3.64,52.8,40
CYPRESS POINTE HEALTH & WELLNESS,HOUSTON,TX,For-Profit,Medium,124,5,1,Understaffed,3.19,0.53,2.97,61.3,68.2
CARMI MANOR REHAB & NRSG CTR,CARMI,IL,For-Profit,Medium,74,3,1,Adequate,3.62,0.47,3.08,38.8,37.5
Chelsea Retirement Community,Chelsea,MI,Non-Profit,Medium,85,5,4,Adequate,4.38,0.73,3.85,40.9,36.8
HOPE CENTER FOR H I V AND NURSING CARE,BRONX,NY,For-Profit,Medium,66,2,4,Understaffed,2.5,0.96,1.93,20,13.3
CLINTON GARDENS,CLINTON,IN,Government,Medium,100,4,3,Understaffed,3.14,0.57,2.69,36.5,18.2
LAS FLORES CONVALESCENT HOSPITAL,GARDENA,CA,For-Profit,Medium,144,1,3,Adequate,3.85,0.25,3.39,27,20
COVINGTON POST ACUTE,COVINGTON,TN,For-Profit,Medium,98,3,2,Understaffed,3.37,0.53,2.82,30.8,50
RIVERVIEW HEALTH & REHAB CTR,SAVANNAH,GA,Non-Profit,Large,284,1,1,Understaffed,3.02,0.21,2.47,53.2,50
THOMSON HEALTH AND REHABILITATION,THOMSON,GA,For-Profit,Large,150,3,2,Understaffed,3.19,0.28,2.69,47.7,20
Cypress Pointe Rehabilitation Center,Wilmington,NC,For-Profit,Medium,90,5,3,Adequate,3.54,0.76,3.34,50,50
Good Samaritan Society - Bethany,BRAINERD,MN,Non-Profit,Medium,79,5,5,Adequate,3.76,1.61,3.25,17.6,16.7
WESTMORELAND REHABILITATION & HEALTHCARE CENTER,COLONIAL BEACH,VA,For-Profit,Medium,66,2,1,Understaffed,3.21,0.48,2.77,40.3,37.5
CENTENNIAL POST ACUTE,ANCHORAGE,AK,For-Profit,Medium,102,1,4,Adequate,4.73,1.1,4.35,54.2,57.7
HARRISON HEALTHCARE CENTER,CORYDON,IN,Non-Profit,Medium,92,2,1,Understaffed,3.3,0.38,2.96,43,57.1
HERITAGE HOUSE NURSING CENTER,VICKSBURG,MS,For-Profit,Medium,60,4,5,Adequate,3.8,0.6,3.18,32.1,25
SURREY PLACE NURSING CENTER,LIVE OAK,FL,For-Profit,Medium,60,4,4,Adequate,3.88,0.82,3.4,37.7,25
St John's Health Sage Living,Jackson,WY,Government,Medium,60,5,5,Adequate,4.3,1.77,3.62,22.6,15.8
SWISS VILLAGE,BERNE,IN,Non-Profit,Medium,128,5,5,Adequate,4.98,1.04,4.23,32.5,11.1
AVALON CARE CENTER,NEW CASTLE,PA,For-Profit,Medium,84,2,3,Understaffed,3.38,0.65,3.13,54.1,68.2
ALLIANCE HEALTH AT MAPLES,WRENTHAM,MA,Non-Profit,Medium,144,3,4,Adequate,4.39,0.45,4,30.1,42.9
WHEATLAND NURSING & REHABILITATION CENTER,RUSSELL,KS,For-Profit,Small,45,5,4,Understaffed,3.42,0.46,2.82,30.3,20
AMELIA REHABILITATION AND HEALTHCARE CENTER,AMELIA,VA,For-Profit,Medium,100,1,1,Understaffed,2.97,0.25,2.58,69.1,54.5
CROWN REHAB AND HEALTHCARE CENTER,HARRISONVILLE,MO,For-Profit,Medium,118,2,1,Understaffed,3.27,0.42,2.97,47.8,57.1
Avir at Orem,HOUSTON,TX,For-Profit,Medium,120,4,3,Adequate,3.64,0.42,3.32,45.6,0
Clark Retirement Community,Grand Rapids,MI,Non-Profit,Small,39,1,1,Adequate,3.64,0.5,3.38,51.4,71.4
RIVERSIDE HEALTH AND REHABILITATION,THOMASTON,GA,Non-Profit,Medium,73,3,3,Understaffed,3.23,0.29,2.82,31.6,0
